Producto,"Producto, nombre",Subfamilia,Nº productos,Nº Documentos,Nº items (líneas),Cantidad,Cant. confirmada,Importe bruto (euro),Importe dto. (euro),% Dto. Efectivo,Importe (euro),Unnamed: 12
D-31,JUNTA CONEXION MANGUERA ISO DYNAMIC,MATB,1,2,2,"250,000000000","50,000000000","71,345000000000000000","-0,005000000000000000","-0,006","71,35",
D-34,Cabezal de disparo blanco ISO Dynamic,MATB,1,1,1,"15,000000000","0,000000000","161,850000000000000000","0,000000000000000000","0,000","161,85",
D-37,OBTURADOR ISO DYNAMIC,MATB,1,2,2,"40,000000000","20,000000000","476,400000000000000000","0,000000000000000000","0,000","476,40",
D-51,LONAKO LIGHTING SYSTEM LNK-LR-03A FULL SET,MATB,1,2,2,"41,000000000","16,000000000","996,982992000000000000","0,002992000000000000","0,000","996,98",
D-57,Kit reparación ISO Dynamic 13 ud,MATB,1,1,1,"10,000000000","10,000000000","199,500000000000000000","0,000000000000000000","0,000","199,50",
D-63,SACO VACIO BALSA 4 PL ISO DYNAMIC,MATB,1,1,1,"20,000000000","20,000000000","240,200000000000000000","0,000000000000000000","0,000","240,20",
D-64,SACO VACIO BALSA 6-8 PL ISO DYNAMIC,MATB,1,2,2,"20,000000000","20,000000000","125,692870000000000000","0,002870000000000000","0,002","125,69",
D-65,SACO VACIO BALSA 10-12 PL ISO DYNAMIC,MATB,1,2,2,"15,000000000","15,000000000","76,546950000000000000","-0,003050000000000000","-0,003","76,55",
DY6C-USA-SR,BALSA DUARRY 6 PL. ISO DYNAMIC CONT. AUTOADRIZABLE,BISO,1,1,1,"20,000000000","0,000000000","6000,000000000000000000","0,000000000000000000","0,000","6000,00",
DY6S-USA-SR,BALSA DUARRY 6 PL. ISO DYNAMIC SACO AUTOADRIZABLE ,BISO,1,1,1,"20,000000000","0,000000000","6000,000000000000000000","0,000000000000000000","0,000","6000,00",
DY8C-USA-SR,BALSA DUARRY 8 PL. ISO DYNAMIC CONT. AUTOADRIZABLE ,BISO,1,1,1,"20,000000000","0,000000000","7500,000000000000000000","0,000000000000000000","0,000","7500,00",
DY8S-USA-SR,BALSA DUARRY 8 PL. ISO DYNAMIC SACO AUTOADRIZABLE ,BISO,1,1,1,"10,000000000","0,000000000","3750,000000000000000000","0,000000000000000000","0,000","3750,00",
L-227,BOZA DE DISPARO ISO/PAINTER LINE ISO 12MTR LALIZAS,MATB,1,1,1,"12,000000000","12,000000000","27,240000000000000000","0,000000000000000000","0,000","27,24",
N-128,BOTELLA CO2 22L,MATB,1,1,1,"2,000000000","0,000000000","225,200000000000000000","0,000000000000000000","0,000","225,20",
NSRN2000,Radiobaliza NSR N2000,RADI,1,3,3,"3,000000000","3,000000000","1980,000000000000000000","693,000000000000000000","35,000","1287,00",
PORTES,PORTES COMPRAS,PORT,1,4,4,"4,000000000","1,000000000","118,000000000000000000","0,000000000000000000","0,000","118,00",
RL6e,CABLE + LUZ EXTERIOR RL6e DANIAMANT,MATB,1,11,11,"165,000000000","115,000000000","928,979558000000000000","-0,010442000000000000","-0,000","928,99",
RL6i,BATERIA + LUZ INTERIOR RL6i DANIAMANT,MATB,1,10,10,"610,000000000","110,000000000","9304,001945000000000000","-0,008055000000000000","0,000","9304,01",
VBALID004R,BALSA DUARRY N 4 PL. ISO CONTAINER,BISO,1,1,1,"3,000000000","0,000000000","1050,630000000000000000","0,000000000000000000","0,000","1050,63",
VBALID004S,BALSA DUARRY N 4 PL.ISO SACO,BISO,1,1,1,"2,000000000","0,000000000","672,040000000000000000","0,000000000000000000","0,000","672,04",
VBALID006R,BALSA DUARRY N 6 PL.ISO CONTAINER,BISO,1,1,1,"3,000000000","0,000000000","1066,530000000000000000","0,000000000000000000","0,000","1066,53",
VBALID006S,BALSA DUARRY N 6 PL.ISO SACO,BISO,1,1,1,"2,000000000","0,000000000","682,940000000000000000","0,000000000000000000","0,000","682,94",
VBALID008R,BALSA DUARRY N 8 PL.ISO CONTAINER,BISO,1,1,1,"4,000000000","0,000000000","1627,840000000000000000","0,000000000000000000","0,000","1627,84",
VBALID008S,BALSA DUARRY N 8 PL.ISO SACO,BISO,1,1,1,"4,000000000","0,000000000","1571,720000000000000000","0,000000000000000000","0,000","1571,72",
VBALID010R,BALSA DUARRY N 10 PL.ISO CONTAINER,BISO,1,1,1,"10,000000000","0,000000000","4415,800000000000000000","0,000000000000000000","0,000","4415,80",
VBALID010S,BALSA DUARRY N 10 PL. ISO SACO,BISO,1,1,1,"10,000000000","0,000000000","4275,400000000000000000","0,000000000000000000","0,000","4275,40",
VBALID012R,BALSA DUARRY N 12 PL.ISO CONTAINER,BISO,1,1,1,"10,000000000","0,000000000","4883,500000000000000000","0,000000000000000000","0,000","4883,50",
VBALID012S,BALSA DUARRY N 12 PL.ISO SACO,BISO,1,1,1,"15,000000000","0,000000000","11970,000000000000000000","0,000000000000000000","0,000","11970,00",
