Semana,Almacen,Producto,Cantidad
2021-04-26,ALM,B011730,20.0
2021-04-26,ALM,B011730,25.0
2021-05-03,ALM,B011730,36.0
2021-05-03,ALM,B011730,11.0
2021-05-10,ALM,B011730,7.0
2021-05-10,ALM,B011730,28.0
2021-05-10,ALM,B011730,7.0
2021-05-10,ALM,B011730,6.0
2021-05-17,ALM,B011730,4.0
2021-05-17,ALM,B011730,6.0
2021-05-17,ALM,B011730,6.0
2021-05-24,023,B011730,1.0
2021-05-24,ALM,B011730,51.0
2021-05-31,ALM,B011730,11.0
2021-05-31,ALM,B011730,8.0
2021-05-31,ALM,B011730,2.0
2021-05-31,023,B011730,1.0
2021-05-31,023,B011730,3.0
2021-06-07,ALM,B011730,4.0
2021-06-07,ALM,B011730,1.0
2021-06-07,ALM,B011730,29.0
2021-06-07,ALM,B011730,3.0
2021-06-14,ALM,B011730,5.0
2021-06-14,ALM,B011730,1.0
2021-06-14,ALM,B011730,4.0
2021-06-14,ALM,B011730,4.0
2021-06-14,ALM,B011730,2.0
2021-06-21,ALM,B011730,4.0
2021-06-28,019,B011730,25.0
2021-06-28,ALM,B011730,24.0
2021-07-05,ALM,B011730,83.0
2021-07-05,018,B011730,2.0
2021-07-05,ALM,B011730,2.0
2021-07-05,ALM,B011730,15.0
2021-07-12,ALM,B011730,2.0
2021-07-12,ALM,B011730,15.0
2021-07-12,ALM,B011730,1.0
2021-07-12,ALM,B011730,30.0
2021-07-19,ALM,B011730,5.0
2021-07-19,ALM,B011730,0.0
2021-07-19,ALM,B011730,1.0
2021-07-26,ALM,B011730,10.0
2021-07-26,023,B011730,1.0
2021-07-26,ALM,B011730,1.0
2021-08-02,ALM,B011730,1.0
2021-08-09,ALM,B011730,3.0
2021-08-09,ALM,B011730,10.0
2021-08-09,ALM,B011730,2.0
2021-08-09,ALM,B011730,2.0
2021-08-16,ALM,B011730,1.0
2021-08-30,ALM,B011730,3.0
2021-08-30,ALM,B011730,4.0
2021-09-06,ALM,B011730,5.0
2021-09-13,ALM,B011730,4.0
2021-09-13,ALM,B011730,1.0
2021-09-13,ALM,B011730,1.0
2021-09-27,ALM,B011730,24.0
2021-09-27,ALM,B011730,7.0
2021-09-27,ALM,B011730,4.0
2021-10-04,018,B011730,1.0
2021-10-04,ALM,B011730,132.0
2021-10-11,ALM,B011730,0.0
2021-10-11,ALM,B011730,7.0
2021-10-18,ALM,B011730,1.0
2021-10-18,ALM,B011730,1.0
2021-10-25,ALM,B011730,101.0
2021-10-25,ALM,B011730,1.0
2021-10-25,ALM,B011730,14.0
2021-10-25,ALM,B011730,4.0
2021-11-01,ALM,B011730,1.0
2021-11-01,ALM,B011730,1.0
2021-11-01,ALM,B011730,166.0
2021-11-01,ALM,B011730,10.0
2021-11-08,ALM,B011730,1.0
2021-11-08,ALM,B011730,8.0
2021-11-08,ALM,B011730,2.0
2021-11-15,ALM,B011730,827.0
2021-11-15,ALM,B011730,3.0
2021-11-15,ALM,B011730,1.0
2021-11-22,ALM,B011730,1.0
2021-11-22,ALM,B011730,2.0
2021-11-29,ALM,B011730,2.0
2021-11-29,ALM,B011730,2.0
2021-11-29,ALM,B011730,1.0
2021-11-29,ALM,B011730,1.0
2021-12-06,018,B011730,1.0
2021-12-13,ALM,B011730,5.0
2021-12-20,ALM,B011730,49.0
2021-12-27,ALM,B011730,1.0
2021-12-27,ALM,B011730,1.0
2021-03-01,ALM,B011731,1.0
2021-03-01,ALM,B011731,4.0
2021-03-08,ALM,B011731,3.0
2021-03-15,ALM,B011731,1.0
2021-03-15,ALM,B011731,2.0
2021-04-12,ALM,B011731,3.0
2021-04-19,223,B011731,3.0
2021-04-19,ALM,B011731,2.0
2021-05-03,ALM,B011731,1.0
2021-05-31,ALM,B011731,1.0
2021-06-07,ALM,B011731,3.0
2021-06-14,ALM,B011731,6.0
2021-06-28,ALM,B011731,2.0
2021-06-28,ALM,B011731,5.0
2021-07-26,ALM,B011731,1.0
2021-07-26,ALM,B011731,1.0
2021-09-27,ALM,B011731,2.0
2021-09-27,ALM,B011731,1.0
2021-11-08,ALM,B011731,1.0
2021-11-15,ALM,B011731,1.0
2021-12-06,ALM,B011731,1.0
2021-01-25,ALM,B012216,2.0
2021-02-15,ALM,B012216,3.0
2021-03-01,ALM,B012216,4.0
2021-03-01,ALM,B012216,2.0
2021-03-08,ALM,B012216,4.0
2021-03-22,ALM,B012216,1.0
2021-03-29,ALM,B012216,3.0
2021-04-12,ALM,B012216,2.0
2021-04-26,ALM,B012216,2.0
2021-04-26,ALM,B012216,2.0
2021-04-26,ALM,B012216,3.0
2021-05-03,ALM,B012216,6.0
2021-05-10,ALM,B012216,1.0
2021-05-10,ALM,B012216,2.0
2021-05-10,ALM,B012216,3.0
2021-05-17,023,B012216,1.0
2021-05-31,ALM,B012216,2.0
2021-05-31,ALM,B012216,2.0
2021-06-14,ALM,B012216,1.0
2021-06-21,ALM,B012216,3.0
2021-07-05,ALM,B012216,4.0
2021-07-19,ALM,B012216,2.0
2021-09-27,ALM,B012216,1.0
2021-10-04,ALM,B012216,6.0
2021-10-25,ALM,B012216,6.0
2021-10-25,ALM,B012216,4.0
2021-10-25,ALM,B012216,2.0
2021-11-01,ALM,B012216,6.0
2021-11-01,ALM,B012216,3.0
2021-11-08,ALM,B012216,4.0
2021-01-11,ALM,B012217,1.0
2021-02-15,ALM,B012217,1.0
2021-05-10,ALM,B012217,1.0
2021-06-21,ALM,B012217,1.0
2021-07-05,ALM,B012217,4.0
2021-11-01,ALM,B012217,1.0
2021-02-15,ALM,B012218,4.0
2021-04-26,ALM,B012218,2.0
2021-04-26,ALM,B012218,4.0
2021-05-10,ALM,B012218,4.0
2021-05-10,ALM,B012218,4.0
2021-10-04,ALM,B012218,24.0
2021-10-25,ALM,B012218,24.0
2021-11-01,ALM,B012218,24.0
2021-03-01,ALM,B012219,4.0
2021-04-12,ALM,B012219,2.0
2021-04-26,ALM,B012219,2.0
2021-04-26,ALM,B012219,2.0
2021-04-26,ALM,B012219,3.0
2021-05-03,ALM,B012219,6.0
2021-05-10,ALM,B012219,1.0
2021-05-10,ALM,B012219,3.0
2021-05-31,ALM,B012219,2.0
2021-05-31,ALM,B012219,1.0
2021-06-07,ALM,B012219,1.0
2021-06-14,ALM,B012219,5.0
2021-06-14,ALM,B012219,1.0
2021-06-21,ALM,B012219,3.0
2021-07-12,ALM,B012219,1.0
2021-07-19,ALM,B012219,1.0
2021-09-27,ALM,B012219,1.0
2021-10-25,ALM,B012219,2.0
2021-11-01,ALM,B012219,3.0
2021-01-25,ALM,B012220,2.0
2021-03-01,ALM,B012220,8.0
2021-03-01,ALM,B012220,2.0
2021-03-08,ALM,B012220,4.0
2021-03-22,ALM,B012220,3.0
2021-04-12,ALM,B012220,2.0
2021-04-26,ALM,B012220,2.0
2021-04-26,ALM,B012220,2.0
2021-04-26,ALM,B012220,3.0
2021-05-03,ALM,B012220,6.0
2021-05-10,ALM,B012220,1.0
2021-05-10,ALM,B012220,2.0
2021-05-10,ALM,B012220,2.0
2021-05-31,ALM,B012220,2.0
2021-05-31,ALM,B012220,2.0
2021-06-07,ALM,B012220,1.0
2021-06-14,ALM,B012220,1.0
2021-06-21,ALM,B012220,3.0
2021-07-05,ALM,B012220,4.0
2021-07-12,ALM,B012220,1.0
2021-07-19,ALM,B012220,1.0
2021-09-27,ALM,B012220,1.0
2021-10-25,ALM,B012220,4.0
2021-10-25,ALM,B012220,2.0
2021-11-01,ALM,B012220,3.0
2021-11-08,ALM,B012220,4.0
2021-11-15,ALM,B012220,1.0
2021-01-25,ALM,B012221,4.0
2021-03-01,ALM,B012221,16.0
2021-03-01,ALM,B012221,6.0
2021-03-08,ALM,B012221,16.0
2021-03-22,ALM,B012221,6.0
2021-04-12,ALM,B012221,8.0
2021-04-26,ALM,B012221,4.0
2021-04-26,ALM,B012221,2.0
2021-04-26,ALM,B012221,4.0
2021-05-03,ALM,B012221,24.0
2021-05-10,ALM,B012221,4.0
2021-05-31,ALM,B012221,4.0
2021-05-31,ALM,B012221,6.0
2021-06-21,ALM,B012221,6.0
2021-07-19,ALM,B012221,1.0
2021-09-27,ALM,B012221,2.0
2021-11-01,ALM,B012221,6.0
2021-11-08,ALM,B012221,8.0
2021-01-25,ALM,B012222,8.0
2021-02-15,ALM,B012222,18.0
2021-03-01,ALM,B012222,32.0
2021-03-01,ALM,B012222,12.0
2021-03-08,ALM,B012222,64.0
2021-03-22,ALM,B012222,12.0
2021-04-12,ALM,B012222,16.0
2021-04-26,ALM,B012222,8.0
2021-04-26,ALM,B012222,6.0
2021-04-26,ALM,B012222,8.0
2021-05-03,ALM,B012222,48.0
2021-05-10,ALM,B012222,4.0
2021-05-10,ALM,B012222,12.0
2021-05-10,ALM,B012222,8.0
2021-05-31,ALM,B012222,8.0
2021-05-31,ALM,B012222,12.0
2021-06-21,ALM,B012222,12.0
2021-07-19,ALM,B012222,2.0
2021-09-27,ALM,B012222,4.0
2021-10-04,ALM,B012222,48.0
2021-10-25,ALM,B012222,48.0
2021-11-01,ALM,B012222,12.0
2021-11-08,ALM,B012222,16.0
2021-03-22,ALM,B012223,3.0
2021-04-26,ALM,B012224,1.0
2021-07-05,ALM,B012224,4.0
2021-09-27,ALM,B012224,1.0
2021-09-27,ALM,B012225,1.0
2021-01-25,ALM,B012226,2.0
2021-02-15,ALM,B012226,3.0
2021-03-01,ALM,B012226,4.0
2021-03-01,ALM,B012226,2.0
2021-03-08,ALM,B012226,4.0
2021-03-22,ALM,B012226,3.0
2021-03-29,ALM,B012226,3.0
2021-04-12,ALM,B012226,2.0
2021-04-12,ALM,B012226,1.0
2021-04-26,ALM,B012226,2.0
2021-04-26,ALM,B012226,2.0
2021-04-26,ALM,B012226,3.0
2021-05-03,ALM,B012226,6.0
2021-05-10,ALM,B012226,1.0
2021-05-10,ALM,B012226,2.0
2021-05-10,ALM,B012226,3.0
2021-05-31,ALM,B012226,2.0
2021-05-31,ALM,B012226,2.0
2021-06-14,ALM,B012226,1.0
2021-06-21,ALM,B012226,3.0
2021-07-05,ALM,B012226,4.0
2021-07-12,ALM,B012226,1.0
2021-07-19,ALM,B012226,2.0
2021-09-27,ALM,B012226,1.0
2021-10-04,ALM,B012226,6.0
2021-10-25,ALM,B012226,6.0
2021-10-25,ALM,B012226,4.0
2021-10-25,ALM,B012226,2.0
2021-11-01,ALM,B012226,6.0
2021-11-01,ALM,B012226,3.0
2021-11-08,ALM,B012226,4.0
2021-11-15,ALM,B012226,1.0
2021-03-22,ALM,B012229,1.0
2021-11-29,ALM,B012229,1.0
2021-03-01,ALM,B012230,2.0
2021-03-22,ALM,B012230,1.0
2021-04-12,ALM,B012230,2.0
2021-04-26,ALM,B012230,1.0
2021-05-10,ALM,B012230,1.0
2021-06-14,ALM,B012230,1.0
2021-07-19,ALM,B012230,2.0
2021-11-08,019,B012230,1.0
2021-11-29,ALM,B012230,1.0
2021-08-09,ALM,B012231,4.0
2021-01-18,ALM,B012232,1.0
2021-11-01,ALM,B012232,72.0
2021-01-18,ALM,B012233,1.0
2021-01-25,ALM,B012234,2.0
2021-05-10,ALM,B012234,1.0
2021-06-21,ALM,B012234,1.0
2021-09-27,ALM,B012234,1.0
2021-10-04,ALM,B012234,6.0
2021-10-25,ALM,B012234,4.0
2021-10-25,ALM,B012234,2.0
2021-11-08,ALM,B012234,4.0
2021-11-15,ALM,B012234,1.0
2021-01-25,ALM,B012235,4.0
2021-03-01,ALM,B012235,8.0
2021-03-08,ALM,B012235,16.0
2021-04-26,ALM,B012235,8.0
2021-04-26,ALM,B012235,4.0
2021-04-26,ALM,B012235,8.0
2021-05-10,ALM,B012235,2.0
2021-05-10,ALM,B012235,8.0
2021-05-31,ALM,B012235,12.0
2021-06-14,ALM,B012235,2.0
2021-06-21,ALM,B012235,6.0
2021-09-27,ALM,B012235,2.0
2021-10-04,ALM,B012235,4.0
2021-10-25,ALM,B012235,16.0
2021-10-25,ALM,B012235,4.0
2021-11-01,ALM,B012235,12.0
2021-11-08,ALM,B012235,16.0
2021-11-15,ALM,B012235,2.0
2021-01-25,ALM,B012236,6.0
2021-03-01,ALM,B012236,12.0
2021-03-08,ALM,B012236,24.0
2021-04-26,ALM,B012236,12.0
2021-04-26,ALM,B012236,6.0
2021-04-26,ALM,B012236,12.0
2021-05-10,ALM,B012236,3.0
2021-05-10,ALM,B012236,12.0
2021-05-10,ALM,B012236,3.0
2021-05-31,ALM,B012236,12.0
2021-06-14,ALM,B012236,3.0
2021-06-21,ALM,B012236,9.0
2021-09-27,ALM,B012236,3.0
2021-10-04,ALM,B012236,6.0
2021-10-25,ALM,B012236,24.0
2021-10-25,ALM,B012236,6.0
2021-11-01,ALM,B012236,6.0
2021-11-01,ALM,B012236,18.0
2021-11-08,ALM,B012236,24.0
2021-11-15,ALM,B012236,3.0
2021-01-25,ALM,B012237,2.0
2021-03-08,ALM,B012237,8.0
2021-04-26,ALM,B012237,4.0
2021-04-26,ALM,B012237,2.0
2021-04-26,ALM,B012237,5.0
2021-05-10,ALM,B012237,4.0
2021-06-14,ALM,B012237,1.0
2021-06-21,ALM,B012237,2.0
2021-09-27,ALM,B012237,1.0
2021-10-04,ALM,B012237,2.0
2021-10-25,ALM,B012237,8.0
2021-10-25,ALM,B012237,2.0
2021-11-01,ALM,B012237,6.0
2021-11-08,ALM,B012237,8.0
2021-03-01,ALM,B012238,4.0
2021-03-22,ALM,B012238,4.0
2021-04-26,ALM,B012238,2.0
2021-04-26,ALM,B012238,8.0
2021-05-10,ALM,B012238,3.0
2021-05-31,ALM,B012238,2.0
2021-06-14,ALM,B012238,1.0
2021-06-21,ALM,B012238,2.0
2021-09-27,ALM,B012238,1.0
2021-10-25,ALM,B012238,12.0
2021-10-25,ALM,B012238,2.0
2021-11-29,ALM,B012238,1.0
2021-02-15,ALM,B012239,3.0
2021-04-26,ALM,B012239,2.0
2021-05-03,ALM,B012239,2.0
2021-05-10,ALM,B012239,1.0
2021-05-10,ALM,B012239,2.0
2021-05-10,ALM,B012239,4.0
2021-05-31,ALM,B012239,2.0
2021-06-14,ALM,B012239,1.0
2021-07-05,ALM,B012239,3.0
2021-07-19,ALM,B012239,1.0
2021-09-27,ALM,B012239,1.0
2021-10-04,ALM,B012239,1.0
2021-10-25,ALM,B012239,6.0
2021-10-25,ALM,B012239,2.0
2021-11-08,ALM,B012239,4.0
2021-11-29,ALM,B012239,1.0
2021-03-22,ALM,B012240,1.0
2021-04-12,ALM,B012240,2.0
2021-04-26,ALM,B012240,2.0
2021-05-10,ALM,B012240,1.0
2021-05-31,007,B012240,1.0
2021-05-31,025,B012240,1.0
2021-06-14,ALM,B012240,1.0
2021-06-21,ALM,B012240,1.0
2021-07-05,ALM,B012240,4.0
2021-08-09,ALM,B012240,1.0
2021-10-04,ALM,B012240,1.0
2021-04-12,ALM,B012241,2.0
2021-05-10,ALM,B012241,1.0
2021-05-10,ALM,B012302,1.0
2021-06-14,ALM,B012302,1.0
2021-11-29,ALM,B012302,1.0
2021-04-19,223,B012316,1.0
2021-04-19,223,B012316,1.0
2021-01-11,007,B041844,2.0
2021-01-18,011,B041844,2.0
2021-01-04,007,B041846,1.0
2021-01-11,010,B041846,4.0
2021-01-11,010,B041846,1.0
2021-01-18,010,B041846,1.0
2021-01-18,010,B041846,1.0
2021-02-01,015,B041846,1.0
2021-02-01,010,B041846,1.0
2021-02-08,010,B041846,1.0
2021-02-15,010,B041846,2.0
2021-02-22,alm,B041846,1.0
2021-02-22,010,B041846,1.0
2021-03-01,007,B041846,2.0
2021-03-01,010,B041846,2.0
2021-06-07,007,B041846,1.0
2021-06-07,007,B041846,1.0
2021-06-28,025,B041846,1.0
2021-07-12,007,B041846,1.0
2021-07-12,025,B041846,2.0
2021-01-04,032,B041847,2.0
2021-01-25,019,B041851,2.0
2021-02-22,011,B041855,1.0
2021-01-11,010,B041857,1.0
2021-01-25,007,B041857,1.0
2021-02-22,alm,B041857,1.0
2021-02-22,025,B041857,1.0
2021-05-31,018,B041857,1.0
2021-06-21,025,B041857,1.0
2021-07-12,025,B041857,1.0
2021-01-18,011,B041859,2.0
2021-03-01,019,B041859,1.0
2021-08-16,025,B041859,1.0
2021-01-25,025,B041862,1.0
2021-01-11,ALM,B041867,1.0
2021-02-01,010,B041867,4.0
2021-02-08,026,B041867,1.0
2021-02-22,alm,B041867,1.0
2021-03-22,023,B041867,1.0
2021-06-07,015,B041867,1.0
2021-06-07,015,B041867,1.0
2021-06-28,025,B041867,1.0
2021-01-25,025,B041879,4.0
2021-03-01,alm,B041879,2.0
2021-01-25,011,B041880,2.0
2021-01-18,018,B041881,2.0
2021-01-25,018,B041881,2.0
2021-02-01,018,B041881,2.0
2021-02-22,alm,B041881,2.0
2021-02-22,alm,B041884,1.0
2021-01-25,025,B041887,8.0
2021-02-01,032,B041891,1.0
2021-01-25,011,B041893,1.0
2021-02-01,025,B041895,4.0
2021-01-18,025,B041900,2.0
2021-02-01,018,B042200,2.0
