"Almacén";"Artíc. stockable";"Cod. Artículo";"Cod. Antiguo";"Descrip. Producto";"Stock unidades";"Coste teórico Euros";"P.U.C.";"P.M.P.";"Invent. PUC";"Invent. PMP";"Unids Pdte entrar";"Unids Pdte salir";"Disponible (St+pE-pS)";
"122";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";31,000000000;11,650000000;12,850000000;12,705782310;398,350000000;393,879251610;0,00000000;0,00000000;31,000000000;
"123";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";-14,000000000;11,650000000;11,650000000;11,650000000;-163,100000000;-163,100000000;0,00000000;0,00000000;-14,000000000;
"202";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";41,000000000;11,650000000;12,850000000;12,774551430;526,850000000;523,756608630;0,00000000;20,00000000;21,000000000;
"223";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";-11,000000000;11,650000000;12,350000000;12,340000000;-135,850000000;-135,740000000;0,00000000;2,00000000;-13,000000000;
"ALM";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";658,000000000;11,650000000;12,850000000;12,974343920;8455,300000000;8537,118299360;125,00000000;273,00000000;510,000000000;
"ALM";"si";"CA032281";"E-566";"COHETE SEÑALES CON PARACAIDAS PWS";-8,000000000;21,220000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-8,000000000;
"ALM";"si";"CA032282";"E-567";"BENGALA DE SEÑALES PWS";-12,000000000;5,910000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-12,000000000;
"ALM";"si";"CA032283";"E-568";"SEÑAL FUMIFERA FLOTANTE PWS";-4,000000000;20,540000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-4,000000000;
"ALM";"si";"CA032348";"A032348";"Cohetes de señales con paracaidas ";12,000000000;2,000000000;0,000000000;1,621666670;0,000000000;19,460000040;0,00000000;0,00000000;12,000000000;
"ALM";"si";"CA032350";"A032350";"SEÑAL FUMIFERA FLOTANTE ";6,000000000;2,000000000;0,000000000;1,620000000;0,000000000;9,720000000;0,00000000;0,00000000;6,000000000;
"ALM";"si";"CA040013";"E-506";"APARATO LANZACABOS CUERPO COMPLETO";-1,000000000;175,000000000;179,800000000;179,800000000;-179,800000000;-179,800000000;2,00000000;0,00000000;1,000000000;
"018";"si";"CA040021";"CA040021";"COHETE LANZACABOS REPUESTO - IKAROS IK346200";-4,000000000;128,210000000;137,820000000;137,820000000;-551,280000000;-551,280000000;1,00000000;0,00000000;-3,000000000;
"ALM";"si";"CA040021";"CA040021";"COHETE LANZACABOS REPUESTO - IKAROS IK346200";4,000000000;128,210000000;128,210000000;128,210000000;512,840000000;512,840000000;0,00000000;1,00000000;3,000000000;
"ALM";"si";"CA050029";"E-369";"CHALECO JUNIOR 100N - 43 KG.+ARNES ISO";2,000000000;36,400000000;84,838333330;62,820909000;169,676666660;125,641818000;0,00000000;0,00000000;2,000000000;
"018";"si";"CA050031";"E-414";"CHALECO INFLABLE MARINE 150N AUTO+ARNES";2,000000000;46,100000000;54,925000000;54,925000000;109,850000000;109,850000000;0,00000000;0,00000000;2,000000000;
"ALM";"si";"CA050031";"E-414";"CHALECO INFLABLE MARINE 150N AUTO+ARNES";18,000000000;46,100000000;53,767500000;55,716339200;967,815000000;1002,894105600;10,00000000;4,00000000;24,000000000;
"018";"si";"CA050032";"E-416";"TRAJE SUPERVIV.ATLANTICO-2 SOLAS 2010 XL";-1,000000000;90,510000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-1,000000000;
"ALM";"si";"CA050034";"E-420";"CHALECO SAMOA 150 NW ADULTO ISO";2,000000000;19,010000000;0,000000000;19,010000000;0,000000000;38,020000000;0,00000000;0,00000000;2,000000000;
"ALM";"si";"CA050035";"E-421";"CHALECO CAP CORSE-1 SOLAS ADULTO";17,000000000;16,870000000;21,617222220;21,617222220;367,492777740;367,492777740;0,00000000;0,00000000;17,000000000;
"ALM";"si";"CA050036";"E-422";"CHALECO CAP CORSE-2 SOLAS NIÑO";22,000000000;13,500000000;21,665000000;19,441616160;476,630000000;427,715555520;0,00000000;0,00000000;22,000000000;
"ALM";"si";"CA050039";"E-485";"TRAJE INMERSION ATLANTICO 2 S-M";1,000000000;90,600000000;165,740000000;165,740000000;165,740000000;165,740000000;0,00000000;0,00000000;1,000000000;
"ALM";"si";"CA050040";"E-510";"CHALECO MAREA ISO 150N MANUAL+ARNES";13,000000000;36,350000000;104,708461540;104,708461540;1361,210000020;1361,210000020;0,00000000;0,00000000;13,000000000;
"ALM";"si";"CA050041";"E-513";"CHALECO ESPUMA ISO 150N AZORES";-11,000000000;10,080000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-11,000000000;
"ALM";"si";"CA050047";"E-91";"CHALECO ATLANTIC 275 N AUTO + A";2,000000000;64,410000000;127,755000000;127,755000000;255,510000000;255,510000000;0,00000000;0,00000000;2,000000000;
"ALM";"si";"CA050051";"E-95";"CHALECO SKIPPER 150 N AUTO ISO 12402";2,000000000;45,550000000;64,380000000;64,380000000;128,760000000;128,760000000;0,00000000;0,00000000;2,000000000;
"ALM";"si";"CA052246";"E-545";"CHALECO SOLAS INTERLOCK 300N ";2,000000000;193,190000000;163,000000000;163,000000000;326,000000000;326,000000000;0,00000000;0,00000000;2,000000000;
"ALM";"si";"CA060055";"E-182";"BOBINA DE AUTOHINCHADO HR (AMARILLA)";-1,000000000;8,420000000;0,000000000;8,420000000;0,000000000;-8,420000000;0,00000000;0,00000000;-1,000000000;
"ALM";"si";"CA060058";"E-450";"CLIP V85000";-4,000000000;1,210000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-4,000000000;
"018";"si";"CA060060";"H-BOT";"H-BOTELLA CO2 33 GR. 150N";8,000000000;3,470000000;3,470000000;11,680000000;27,760000000;93,440000000;0,00000000;0,00000000;8,000000000;
"ALM";"si";"CA060060";"H-BOT";"H-BOTELLA CO2 33 GR. 150N";-25,000000000;3,470000000;10,098000000;10,098000000;-252,450000000;-252,450000000;0,00000000;0,00000000;-25,000000000;
"ALM";"si";"CA060061";"H-BOT-2";"KIT BOTELLA 38 GR CO2 CHALECOS";31,000000000;16,790000000;7,785000000;8,062676180;241,335000000;249,942961580;0,00000000;0,00000000;31,000000000;
"018";"si";"CA060062";"H-BOT60";"H-BOTELLA CO2 60 GR.";6,000000000;6,990000000;6,990000000;14,060000000;41,940000000;84,360000000;0,00000000;0,00000000;6,000000000;
